Id,Title,Location,Salary,Summary
7818c92e8480d5d7,한화생명 Front-End / Back-End 개발자 경력채용,한화그룹 4.2 서울,,"혹은 그에 준하는 실력 • HTML5, CSS3, Javascript에 대한 깊은 이해 • ES6+, React 기술 경험 • Webpack 등의 빌드 도구 경험 • 웹 프론트 기술 흐름에 지속적으로 관심갖는 분 • 논리적..."
734e41fc4ecd6411,[국내 최고회사] Front-End 개발자,인코리아 프로페셔널 성남 분당구,,"분- Javascript Framework를 사용하여 SPA 개발 경험이 있으신 분 ② 우대 조건 :- React, Vue 등 최신 인터넷·IT·통신·모바일·게임>웹프로그래머>HTML·DHTML·mHTML|인터넷·IT·통신..."
0ce778bde9f5875c,[ANTI-CHEAT] 플랫폼 엔지니어,펍지 서울 서초구,,"및 운영 - 안티치트 운영 자동화 시스템 개발 [지원 자격] - NodeJS 또는 C# 개발 능력 - React, Vue, Angular 등을 사용한 SPA 웹 서비스 개발 경험 - JavaScript/TypeScript..."
3d8b47f388277875,ITO/IDC 시스템 운영 경력사원 채용,한화그룹 4.2 서울,,"기반 개발 경험자(javascript, jquery 등) [우대요건] Front-End(Angular, React 등) 라이브러리 개발 또는 운영 경험 Back-End(RESTful API 기반) 개발에 대한 이해 데이터베..."
56d9b359cfbbf1de,Software Engineer (Embedded/ Numerical C...,BOEING 서울,,"C#, Enterprise Kubernetes Container Service (KCS), Node.js, React.js, Three.js, Google OR-Tools, C++ Google Test/Google Mock..."
497133c0f23d645a,웹 및 프론트앤드 개발자,아이오티포헬스 서울 영등포구,"연봉 30,000,000원 - 50,000,000원","직무내용] [담당업무]- 글로벌 헬스케어(원격의료) 솔루션 개발[세부업무]- JavaScript, React... Front-end 개발- Web Publishing[우대조건]- 헬스케어(원격의료) 개발 경험자- 병원..."
b8dead3d3c72d10c,"프론트엔드 , 웹퍼블리셔",리스트 서울 영등포구,"월급 2,000,000원","합니다. 프론트엔드 , 웹퍼블리셔 개발 분야 ㆍCSS, jQuery, HTML 필수 ㆍ웹퍼블리싱 필수 ㆍ React 가능자 우대 ㆍ모바일 웹/앱 경험자 우대 [근무시간 및 형태] 주 5일 근무 (오전) 10시 00분~(오후..."
1da981356c4889fc,프론트엔드 개발자 - GAME DEV본부,펍지 서울 서초구,,텍처 설계 - 제한된 리소스 내에서 문제없이 돌아가는 웹 서비스를 만들기 위해 퍼포먼스 최적화 [지원 자격] - React/Angular/Vue 등을 이용해 Single Page Application을 구축한 경험이 있는 분...
a1e3992a62a45541,SmilePay & SmileCash Frontend 개발,이베이 코리아 서울 강남구,,"등에 대한 이해화 경험이 있으신 분 - React, Node js, Javascript, C#, Jquery 등으로 Frontend 개발 경험이 있으신 분 [우대사항] - React, Redux 경험자 [공통요건..."
91aa3bd221ee815b,AI Service Planning/Business Development,AITRICS 서울,,"HTML, Javascript(Typescript), CSS(Sass) Library/Framework : React(Next.js), Vue(Nuxt.js), Rx.js, D3(Observablehq), Jest..."
d4e33cbc1b805c6e,(주) 랭킹피쉬 프론트엔드 개발자,랭킹피쉬 서울 성동구,"연봉 24,000,000원 - 40,000,000원","가능)ㆍHTML5, CSS, javascript 등 프론트엔드 웹 개발에 관련된 기본 지식을 보유하신 분ㆍ React 프레임워크를 활용한 개발 경험이 있는 분ㆍ다양한 포지션의 팀원들 사이 커뮤니케이션이 원활한 분우대사항ㆍ플랫폼..."
46a3584564c48ab6,Software Engineer (Front-end),Streami 서울,"연봉 35,000,000원 - 80,000,000원","JavaScript * Experience with JavaScript UI Framework ( React, Vue, Angular) * Understanding DOM Structure * Excellence..."
3fc69646e3aa3740,(주)스포카 개발자 채용,스포카 서울 역삼동,,"신속한 제품 개선과 JSX를 통한 생산성, 효율적인 유지 보수를 위해 React를 사용합니다. 또, 타입 불일치나 null 미확인 등으로 인한 사소하... 효율적으로 재사용할 수 있도록 React 컴포넌트 라이브러리로 만드는 과제..."
8a48c202f69d2877,Front-end 웹/앱 개발자 (병역특례 가능),스마트디아그노시스 서울 마포구,,"Window App 개발 경험 보유 [담당업무] - Android, React(web) 기반의 UI위주의 구현 - Python(PySide2) 기반의... AWS EC2를 이용한 React App 배포 경험 - Android 및..."
b4034af977e9e15e,유명 주식투자 컨설팅 기업 안드로이드 앱개발 정규직,인파트너스 서울 서초구,"연봉 50,000,000원 - 60,000,000원","iOS 개발 가능자 (우대) - 팀내, 팀간 소통에 문제 없고 책임감이 있으신 분 우대사항 : - React Native 또는 Flutter 가능자 - 웹언어 1개이상 이해 또는 경험이 있으신 분 연봉 ~ MAX 5..."
02493f1b0f7d3149,[정규직] 반도체 후공정(Package & Test) IT시스템 구축 및...,SK 씨앤씨 4.0 서울,,"Tib/RV 등) 활용기술 . DB 활용기술(ORACLE, MS-SQL, DB4 등) . UX 개발자 : React, Java Script, Java, Any Frame, HTML5, CSS, Jquery . 반복/점진..."
e839e2e757e5c03a,Development (Front-End),Nearthlab 서울,,front-end development using latest frameworks... React and Vue – Experiences in system automation... testing...
d90d480960387a85,Front-end Software Engineer,Bear Robotics 서울,,로봇의 터치스크린 UI 애플리케이션을 사용하기 편리하게 만듭니다. 자격 요건 React 또는 React-Native를 사용한 개발 / 릴리즈 경험 React 및 모던 프론트엔드 개발 흐름과 ECMAScript에 대한 이해...
164143859b071719,프론트엔드 엔지니어,RIDI Corp 서울,,"개발 React 기반 웹, 모바일, 데스크탑 등 멀티 플랫폼 클라이언트 개발 자격 요건 프론트엔드 개발 경력 3년 이상 React 개발 흐름과 JavaScript에 대한 깊은 이해 React기반 서비스 개발 및 릴리즈..."
